login,name,location,created_at,followers,repositories
tenderlove,Aaron Patterson,Seattle,N/A,9448,413
joshlong,Josh Long,"San Francisco, CA",N/A,9437,652
Jack-Cherish,Jack Cui,China,N/A,9426,18
frontend-joe,Joe,United Kingdom,N/A,9425,95
haileys,Hailey Somerville,Naarm / Melbourne,N/A,9391,392
colah,Christopher Olah,San Francisco,N/A,9373,67
wasabeef,Daichi Furiya,"Tokyo, Japan",N/A,9370,50
arthurspk,Arthur Coutinho,"Alagoas, Brazil",N/A,9300,161
wintercn,Shaofei Cheng,China,N/A,9287,54
norvig,Peter Norvig,"Palo Alto, CA, USA",N/A,9284,6
mrdbourke,Daniel Bourke,,N/A,9283,67
ai,Andrey Sitnik,"Barcelona, Spain",N/A,9161,132
abhishekkrthakur,abhishek thakur,127.0.0.1,N/A,9153,94
simplesteph,Stephane Maarek,Lisbon + moving around the world,N/A,9149,73
jcjohnson,Justin Johnson,,N/A,9112,44
sokra,Tobias Koppers,Germany,N/A,9104,138
shahradelahi,Shahrad Elahi,Earth,N/A,9096,52
ChristianLempa,Christian Lempa,Germany,N/A,9094,12
i5ting,狼叔,china beijing,N/A,9081,951
dyc87112,程序猿DD,"Shanghai, China",N/A,9079,62
521xueweihan,削微寒,"Beijing, China",N/A,9006,150
teteusAraujo,Mateus Araújo,São Paulo/SP,N/A,8999,23
macrozheng,macro,"Wuxi,China",N/A,8952,19
f,Fatih Kadir Akın,"Istanbul, Turkey",N/A,8908,258
s0md3v,Somdev Sangwan,India,N/A,8906,55
CleverProgrammer,Rafeh Qazi,Los Angeles,N/A,8889,191
bubbliiiing,Bubbliiiing,,N/A,8864,138
elidianaandrade,Eli,Brazil,N/A,8863,9
jordwalke,Jordan W,,N/A,8847,145
NeuralNine,NeuralNine,"Vienna, Austria",N/A,8829,15
sebmarkbage,Sebastian Markbåge,New York City,N/A,8822,83
carpedm20,Taehoon Kim,"Seoul, Korea",N/A,8817,210
alyssaxuu,Alyssa X,"London, UK",N/A,8780,15
ityouknow,纯洁的微笑,"beijing,china",N/A,8779,30
igrigorik,Ilya Grigorik,"Portland, OR",N/A,8766,95
jamiebuilds,Jamie Kyle,https://jamie.build,N/A,8746,715
MisterBooo,吴师兄学算法,"Guangzhou, China",N/A,8745,88
hmaverickadams,Heath Adams,,N/A,8735,20
ardalis,Steve Smith,Ohio,N/A,8712,294
samarjitsahoo,Samarjit Sahoo,"India, Asia",N/A,8705,13
fat,fat,internet jail,N/A,8703,68
lepture,Hsiaoming Yang,Japan,N/A,8701,185
felangel,Felix Angelov,Chicago,N/A,8683,147
audreyt,唐鳳,Taiwan,N/A,8677,390
GoesToEleven,Todd McLeod,,N/A,8638,56
rwieruch,Robin Wieruch,Berlin/Remote,N/A,8623,212
clementmihailescu,Clément Mihailescu,,N/A,8571,18
ChenYilong,ChenYilong,"Auckland, New Zealand",N/A,8564,37
Fndroid,Fndroid,China,N/A,8552,64
ElzeroWebSchool,Elzero Web School,,N/A,8529,24
H-K-R,Humayra Khanom Rime,Your Heart,N/A,8498,56
DevonCrawford,Devon Crawford,,N/A,8496,10
OneLoneCoder,Javidx9,http://www.youtube.com/javidx9,N/A,8487,13
fatih,Fatih Arslan,"Ankara, TR",N/A,8476,65
hwchase17,Harrison Chase,,N/A,8463,90
lexfridman,Lex Fridman,"Cambridge, MA",N/A,8462,3
nwaliaez,Neeraj Walia,India,N/A,8449,18
rexim,Alexey Kutepov,Novosibirsk,N/A,8416,99
lucasmontano,Lucas Montano,"Amsterdam, The Netherlands",N/A,8401,38
vjanz,Valon Januzaj,"Prishtina, Kosovo",N/A,8380,16
evilsocket,Simone Margaritelli,Italy,N/A,8378,176
